row_key;item_id;setor;cotacao;data_cotacao;pedido;data_pedido;fornecedor;produto;quantidade;valor;origem;status_compra;disciplina;source_row
xlsx-25-05-26-row-0229;06;SETOR 6;;;;;METALCOATING;CAVALETES;0;20000.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;229
xlsx-25-05-26-row-0230;07C;SETOR 7C;;;;;METALCOATING;BOBCAT;1.0;30000.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;230
xlsx-25-05-26-row-0231;07C;SETOR 7C;;;;;METALCOATING;LABORÁTORIO DE FBE | PULLOFF COMPLETO;1.0;400000.0;BRASIL;Orçamento não Aprovado;ESTRUTURAL;231
xlsx-25-05-26-row-0232;06;SETOR 6;41908;24/02/2026;42593;26/02/2026;CENTRAL DE AÇO MACAE LTDA;"DOBRADIÇA GONZO 1""";6.0;101.4;BRASIL;Comprado;ESTRUTURAL;232
xlsx-25-05-26-row-0233;06;SETOR 6;41908;24/02/2026;42594;26/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;METALON DW 40 X 40 (CHAPA 18);48.0;705.6;BRASIL;Comprado;ESTRUTURAL;233
xlsx-25-05-26-row-0234;06;SETOR 6;41908;24/02/2026;42594;26/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;CHAPA DE AÇO LISA 2,65 MM X 1200 MM X 3000 MM;3010.82;21015.52;BRASIL;Comprado;ESTRUTURAL;234
xlsx-25-05-26-row-0235;06;SETOR 6;41908;24/02/2026;42594;26/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;"CANTONEIRA DE FERRO 2"" (50,8 X 50,8 X 1/4"")";60.0;2059.2;BRASIL;Comprado;ESTRUTURAL;235
xlsx-25-05-26-row-0236;15;SETOR 15;41908;24/02/2026;42594;26/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;"BARRA CHATA 2 1/2"" X 1/4""";12.0;218.88;BRASIL;Comprado;ESTRUTURAL;236
xlsx-25-05-26-row-0237;07B;SETOR 7B;41934;26/02/2026;42608;27/02/2026;G5 EQUIPAMENTOS E CONSTRUCAO LTDA;LOCAÇÃO - COMPACTADORA DE SOLO;1.0;580.0;BRASIL;Comprado;ESTRUTURAL;237
xlsx-25-05-26-row-0238;14;SETOR 14;41832;12/02/2026;42524;24/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;"PERFIL AC U SIMPLES 5"" 130 X 40 X 2,65 ESP";90.0;2907.0;BRASIL;Comprado;ESTRUTURAL;238
xlsx-25-05-26-row-0239;14;SETOR 14;41832;12/02/2026;42524;24/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;FERRO U 6 ENRIJECIDO 150X60 CH 2.65;156.0;6542.64;BRASIL;Comprado;ESTRUTURAL;239
xlsx-25-05-26-row-0240;14;SETOR 14;41832;12/02/2026;42524;24/02/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;PERFIL AC U SIMPLES 100 X 40 X 2,65 ESP;48.0;1169.76;BRASIL;Comprado;ESTRUTURAL;240
xlsx-25-05-26-row-0241;02;SETOR 2;41797;12/02/2026;042717;2026-03-04;RIOS & CORTES LTDA;PEDRA BRITADA;3.0;597.0;BRASIL;Comprado;CIVIL;241
xlsx-25-05-26-row-0242;02;SETOR 2;41797;12/02/2026;042717;2026-03-04;RIOS & CORTES LTDA;"VERGALHAO CA 50 5/16""";40.0;1916.0;BRASIL;Comprado;CIVIL;242
xlsx-25-05-26-row-0243;02;SETOR 2;41797;12/02/2026;042717;2026-03-04;RIOS & CORTES LTDA;AREIA;1.0;150.0;BRASIL;Comprado;ESTRUTURAL;243
xlsx-25-05-26-row-0244;02;SETOR 2;41797;12/02/2026;042717;2026-03-04;RIOS & CORTES LTDA;SACO DE CIMENTO CPIII;10.0;399.0;BRASIL;Comprado;CIVIL;244
xlsx-25-05-26-row-0245;02;SETOR 2;41797;12/02/2026;042717;2026-03-04;RIOS & CORTES LTDA;BLOCO DE CIMENTO 10X20X40;100.0;390.0;BRASIL;Comprado;CIVIL;245
xlsx-25-05-26-row-0246;14;SETOR 14;41792;12/02/2026;42449;15/02/2026;RAFIL SUPRIMENTOS OFFSHORE LTDA;PARAFUSO SEXTAVADO AUTOBROCANTE 12X4 ROSCA DUPLA 10,2CM;1000.0;2200.0;BRASIL;Comprado;ESTRUTURAL;246
xlsx-25-05-26-row-0247;14;SETOR 14;41792;12/02/2026;42450;15/02/2026;LAGOS TELHAS LTDA;TELHAS SANDUICHE H=100MM;168.0;20143.2;BRASIL;Comprado;ESTRUTURAL;247
xlsx-25-05-26-row-0248;14;SETOR 14;41792;12/02/2026;42449;15/02/2026;RAFIL SUPRIMENTOS OFFSHORE LTDA;FITA ANTICORROSIVA 100MM X 30M PRETA;5.0;1245.0;BRASIL;Comprado;OPERACIONAL;248
xlsx-25-05-26-row-0249;02;SETOR 2;41741;10/02/2026;42350;10/02/2026;COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS;PARAFUSO GALVANIZADO PARA TELHAS CABEÇA 8 MM X 20 MM;1000.0;340.0;BRASIL;Comprado;ESTRUTURAL;249
xlsx-25-05-26-row-0250;02;SETOR 2;41741;10/02/2026;42350;10/02/2026;COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS;PARAFUSO GALVANIZADO PARA TELHAS CABEÇA 8 MM X 20 MM;200.0;64.0;BRASIL;Comprado;ESTRUTURAL;250
xlsx-25-05-26-row-0251;03;SETOR 3;41705;09/02/2026;42397;12/02/2026;SOLDA BRASIL;CAVALETE DE TUBOS CABEÇA EM V REF. 781300;40.0;38920.0;BRASIL;Comprado;OPERACIONAL;251
xlsx-25-05-26-row-0252;03;SETOR 3;41642;04/02/2026;42276;05/02/2026;LAGOS TELHAS LTDA;TELHAS SANDUICHE H=100MM;102.4;12687.36;BRASIL;Comprado;ESTRUTURAL;252
xlsx-25-05-26-row-0253;03;SETOR 3;41532;28/01/2026;42113;28/01/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;FERRO U 6 ENRIJECIDO 150X60 CH 2.65;78.0;3751.8;BRASIL;Comprado;ESTRUTURAL;253
xlsx-25-05-26-row-0254;03;SETOR 3;41273;12/01/2026;42141;29/01/2026;RAFIL SUPRIMENTOS OFFSHORE LTDA;PARAFUSO SEXTAVADO AUTOBROCANTE 12X4 ROSCA DUPLA 10,2CM;1800.0;3960.0;BRASIL;Comprado;ESTRUTURAL;254
xlsx-25-05-26-row-0255;15;SETOR 15;29970;2026-03-30;43409;2026-03-31;FORT CONSTRUCOES COMERCIO E SERVICOS LTDA;AUMENTAR DIVISORIA NO ESTOQUE;1.0;1000.0;BRASIL;Comprado;ESTRUTURAL;255
xlsx-25-05-26-row-0256;15;SETOR 15;29970;2026-03-30;43409;2026-03-31;FORT CONSTRUCOES COMERCIO E SERVICOS LTDA;FABRICAÇÃO E INSTALAÇÃO DE 1 PRATELEIRA NO ESTOQUE;1.0;8250.0;BRASIL;Comprado;ESTRUTURAL;256
xlsx-25-05-26-row-0257;03;SETOR 3;29851;2026-03-04;42923;2026-03-12;RAFIL SUPRIMENTOS OFFSHORE LTDA;TELHAS TRANSLUCIDAS DE POLIPROPILENO TRAPÉZIO;42.0;6022.87;BRASIL;Comprado;ESTRUTURAL;257
xlsx-25-05-26-row-0258;03;SETOR 3;42084;2026-03-11;42926;2026-03-12;RAFIL SUPRIMENTOS OFFSHORE LTDA;LUMINÁRIA DE LED 400W HIGHBAY;50.0;9604.0;BRASIL;Em Orçamento;ESTRUTURAL;258
